title,s_img,scrible,author,publisher,pub_date,price,score,num
故事(Story),https://img1.doubanio.com/view/subject/s/public/s27598249.jpg,材质、结构、风格和银幕剧作的原理,[美] 罗伯特·麦基,天津人民出版社,2014-09-01,68.0,9.2,20100
昨日的世界(Die Welt von Gestern),https://img9.doubanio.com/view/subject/s/public/s29786716.jpg,无,[奥] 斯特凡·茨威格,上海译文出版社,2018-07-01,49.0,9.4,15831
我的天才女友(L'amica geniale),https://img3.doubanio.com/view/subject/s/public/s29164777.jpg,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,[意] 埃莱娜·费兰特,人民文学出版社,2017-01-01,42.0,8.7,120208
这些人，那些事(无),https://img2.doubanio.com/view/subject/s/public/s6828981.jpg,平淡叙述下的惊心动魄,吴念真,译林出版社,2011-09-01,28.0,8.8,68087
小径分岔的花园(El jardín de senderos que se bifurcan),https://img1.doubanio.com/view/subject/s/public/s29746559.jpg,一个谜语，谜底正是时间,[阿根廷] 豪·路·博尔赫斯,上海译文出版社,2015-07-01,23.0,8.9,48904
王尔德童话(The tales of Oscar Wilde),https://img9.doubanio.com/view/subject/s/public/s2019056.jpg,一颗纯美纯善、永难泯灭的童心,[英] 王尔德,译林出版社,2003-06-01,6.0,9.1,24520
金色梦乡(ゴールデンスランバー),https://img9.doubanio.com/view/subject/s/public/s4444885.jpg,伊坂幸太郎代表作,[日] 伊坂幸太郎,译林出版社,2010-09-01,35.0,9.0,31532
平面国(Flatland: A Romance of Many Dimensions),https://img1.doubanio.com/view/subject/s/public/s33710398.jpg,无,[英] 埃德温·A.艾勃特,上海文化出版社,2020-08-01,39.8,9.2,24143
时间简史(A Brief History of Time),https://img2.doubanio.com/view/subject/s/public/s1914861.jpg,探索时间和空间的核心秘密,[英] 史蒂芬·霍金,湖南科学技术出版社,2010-04-01,45.0,8.9,63338
十万个为什么(无),https://img1.doubanio.com/view/subject/s/public/s2619779.jpg,无,未知,未知,1962-01-01,30.0,9.2,20484
梦里花落知多少(无),https://img3.doubanio.com/view/subject/s/public/s2393243.jpg,哀而不伤,三毛,北京十月文艺出版社,2007-06-01,28.0,8.8,98811
边城(无),https://img3.doubanio.com/view/subject/s/public/s1595557.jpg,一切充满了善，然而到处是不凑巧,沈从文,北岳文艺出版社,2002-04-01,12.0,8.7,233427
克莱因壶(クラインの壷),https://img3.doubanio.com/view/subject/s/public/s33317677.jpg,无,[日] 冈岛二人,化学工业出版社,2019-09-01,48.0,8.9,72462
面纱(The Painted Veil),https://img9.doubanio.com/view/subject/s/public/s28561075.jpg,无,[英] 威廉·萨默塞特·毛姆,江西人民出版社,2016-04-01,39.8,9.0,42571
陆犯焉识(无),https://img3.doubanio.com/view/subject/s/public/s6987353.jpg,翻手为苍凉，覆手为繁华,严歌苓,作家出版社,2011-10-01,35.0,8.9,58462
人间草木(无),https://img1.doubanio.com/view/subject/s/public/s1201610.jpg,我就是要这样香，香得痛痛快快,汪曾祺,江苏文艺出版社,2005-01-01,20.0,9.2,33757
霸王别姬(无),https://img9.doubanio.com/view/subject/s/public/s24964086.jpg,人间，只是抹去了脂粉的脸,李碧华,人民文学出版社,1999-01-01,10.2,9.1,22963
